accuracy,f1,auc,sensitivity,specificity,brier,ece,model,feature_set,fold
0.8120689655172414,0.08403361344537816,0.6311800041689565,0.04424778761061947,0.9978586723768736,0.1493856883349726,0.05390312457707502,K-NN,(e) +heart-cycle,0
0.7931034482758621,0.18181818181818182,0.6622973014554294,0.10144927536231885,0.9957537154989384,0.16265070786816607,0.07021070406237229,K-NN,(e) +heart-cycle,1
0.8175895765472313,0.0967741935483871,0.6059385653471817,0.05309734513274336,0.9900199600798403,0.1497693198379056,0.06366254906023928,K-NN,(e) +heart-cycle,2
0.7838283828382838,0.1437908496732026,0.7270386266094421,0.07857142857142857,0.9957081545064378,0.15705262089981062,0.06864938327836397,K-NN,(e) +heart-cycle,3
0.8056951423785594,0.0,0.6459683357879233,0.0,0.9917525773195877,0.1469344325391722,0.052896735145723586,K-NN,(e) +heart-cycle,4
0.8327586206896552,0.302158273381295,0.6867408235583938,0.18584070796460178,0.9892933618843683,0.13922877411283927,0.04732015557160496,SVC-RBF,(e) +heart-cycle,0
0.7947454844006568,0.25149700598802394,0.6646204498599957,0.15217391304347827,0.9830148619957537,0.15863210436303962,0.05847140396014441,SVC-RBF,(e) +heart-cycle,1
0.8159609120521173,0.17518248175182483,0.6247328352145267,0.10619469026548672,0.9760479041916168,0.14601521622658648,0.056425260792320305,SVC-RBF,(e) +heart-cycle,2
0.7986798679867987,0.3068181818181818,0.7600551808706314,0.19285714285714287,0.98068669527897,0.14569449422846945,0.05694206753627395,SVC-RBF,(e) +heart-cycle,3
0.8090452261306532,0.18571428571428572,0.6700662739322533,0.11607142857142858,0.9690721649484536,0.1441815984660512,0.043759762771876314,SVC-RBF,(e) +heart-cycle,4
0.7879310344827586,0.33513513513513515,0.6815485778173618,0.2743362831858407,0.9122055674518201,0.1530762423383986,0.08655768499934466,XGBoost,(e) +heart-cycle,0
0.8013136288998358,0.4423963133640553,0.7120834487214991,0.34782608695652173,0.9341825902335457,0.148063615094908,0.06379025099165919,XGBoost,(e) +heart-cycle,1
0.8078175895765473,0.3979591836734694,0.6866267465069862,0.34513274336283184,0.9121756487025948,0.14414946668114065,0.08649185949068892,XGBoost,(e) +heart-cycle,2
0.8283828382838284,0.5478260869565217,0.801241569589209,0.45,0.9420600858369099,0.12585438379883587,0.045057362621717716,XGBoost,(e) +heart-cycle,3
0.8107202680067002,0.3825136612021858,0.6779086892488955,0.3125,0.9257731958762887,0.14739273070688655,0.07737644947753278,XGBoost,(e) +heart-cycle,4
0.8344827586206897,0.38461538461538464,0.7578025809630289,0.26548672566371684,0.9721627408993576,0.12844936917659996,0.046781184736360136,GPC,(e) +heart-cycle,0
0.8308702791461412,0.44324324324324327,0.778085479553217,0.2971014492753623,0.9872611464968153,0.13128075370361283,0.03488192004534045,GPC,(e) +heart-cycle,1
0.8420195439739414,0.4049079754601227,0.7152420822072669,0.2920353982300885,0.9660678642714571,0.1296615729153552,0.05319287669347817,GPC,(e) +heart-cycle,2
0.8448844884488449,0.5480769230769231,0.8043378295524218,0.40714285714285714,0.9763948497854077,0.12259240995046554,0.04006254159844656,GPC,(e) +heart-cycle,3
0.8492462311557789,0.4,0.7055228276877762,0.26785714285714285,0.9835051546391752,0.12919404572895565,0.055451000672748496,GPC,(e) +heart-cycle,4
